id,insider_name,insider_title,company_name,ticker,total_trades,avg_pct_change_30d,total_trade_value,win_rate,created_at
205,Feld Michael,,BECTON DICKINSON & CO,BDX,1,-3.6557,,0.00,2026-05-22 21:55:00.311389
206,Kirtley Timothy,,PEOPLES FINANCIAL SERVICES CORP.,PFIS,1,-3.2740,,0.00,2026-05-22 21:55:00.311389
207,Parkinson Mark Vincent,,"ENSIGN GROUP, INC",ENSG,1,-11.2981,,0.00,2026-05-22 21:55:00.311389
208,Kawai Mitsuru,,TOYOTA MOTOR CORP/,TM,1,-8.6973,,0.00,2026-05-22 21:55:00.311389
209,Nachlas Emily,,WESTERN ALLIANCE BANCORPORATION,WAL,1,-2.9574,,0.00,2026-05-22 21:55:00.311389
210,Brummer Gregg,,"REPUBLIC SERVICES, INC.",RSG,1,-2.4171,,0.00,2026-05-22 21:55:00.311389
211,McMillen Charles Thomas,,"NEXSTAR MEDIA GROUP, INC.",NXST,1,-13.6069,,0.00,2026-05-22 21:55:00.311389
212,Delle Coste Riccardo,,BARFRESH FOOD GROUP INC.,BRFH,1,-2.2989,,0.00,2026-05-22 21:55:00.311389
213,Liaw Jeffrey,,COPART INC,CPRT,1,-2.8571,,0.00,2026-05-22 21:55:00.311389
214,Vered Yehuda,,ELBIT SYSTEMS LTD,ESLT,1,-12.9472,,0.00,2026-05-22 21:55:00.311389
215,White Steven Andrew,,HORMEL FOODS CORP /DE/,HRL,1,-5.2808,,0.00,2026-05-22 21:55:00.311389
216,Sutherland Paul Howard,,"GAIA, INC",GAIA,1,-7.8864,,0.00,2026-05-22 21:55:00.311389
217,Detz Kevin,,"SONIDA SENIOR LIVING, INC.",SNDA,1,-9.8470,,0.00,2026-05-22 21:55:00.311389
218,Sabag Oren Yaacov,,ELBIT SYSTEMS LTD,ESLT,1,-12.9472,,0.00,2026-05-22 21:55:00.311389
219,McKinney Marianne,,CF BANKSHARES INC.,CFBK,1,-10.1075,,0.00,2026-05-22 21:55:00.311389
220,Ung Jeremy,,"BLACKLINE, INC.",BL,1,-7.0704,,0.00,2026-05-22 21:55:00.311389
221,Hurd Jonathan Scott,,INTELLIGENT BIO SOLUTIONS INC.,INBS,1,-31.0881,,0.00,2026-05-22 21:55:00.311389
222,Gebauer Julie Jarecke,,WILLIS TOWERS WATSON PLC,WTW,1,-13.7390,,0.00,2026-05-22 21:55:00.311389
223,Osada Hiromi,,TOYOTA MOTOR CORP/,TM,1,-8.6973,,0.00,2026-05-22 21:55:00.311389
